group,monitor,aqs_site_id,county,row_type,row,health_effects,period,period_start,period_end,value_shown,statistic,mean_ppb,screening_level_ppb,n_samples,n_weeks,coverage,coverage_flag,design_value,naaqs,dv_method,data_cutoff
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,5.8417,mean ÷ screening level,0.24821,0.04249,7539.0,,0.86062,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,6.1123,mean ÷ screening level,0.25972,0.04249,7410.0,,0.84358,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,7.2183,mean ÷ screening level,0.30671,0.04249,7177.0,,0.81929,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-08-11,5.7165,mean ÷ screening level,0.24289,0.04249,4451.0,,0.83165,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,Aug 2026,2026-08-01,2026-08-31,3.6954,mean of weekly means ÷ screening level,0.15702,0.04249,151.0,1.0,0.89881,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-08-11,2026-08-11,6.6586,mean ÷ screening level,0.28293,0.04249,7274.0,,0.8281,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,5.7075,mean ÷ screening level,0.64316,0.11269,7509.0,,0.85719,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,7.7486,mean ÷ screening level,0.87316,0.11269,7410.0,,0.84358,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,9.8953,mean ÷ screening level,1.11507,0.11269,7166.0,,0.81804,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,2026 YTD,2026-01-01,2026-08-11,9.3781,mean ÷ screening level,1.05679,0.11269,4451.0,,0.83165,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,Aug 2026,2026-08-01,2026-08-31,5.432,mean of weekly means ÷ screening level,0.61212,0.11269,151.0,1.0,0.89881,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,Last 365 Days,2025-08-11,2026-08-11,10.2107,mean ÷ screening level,1.15061,0.11269,7263.0,,0.82684,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,2023,2023-01-01,2023-12-31,11.5492,sum of pollutant ratios,,,,,0.85719,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,2024,2024-01-01,2024-12-31,13.8609,sum of pollutant ratios,,,,,0.84358,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,2025,2025-01-01,2025-12-31,17.1136,sum of pollutant ratios,,,,,0.81804,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,2026 YTD,2026-01-01,2026-08-11,15.0946,sum of pollutant ratios,,,,,0.83165,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,Aug 2026,2026-08-01,2026-08-31,9.1274,sum of pollutant ratios,,,,,0.89881,,,,,2026-08-11
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,Last 365 Days,2025-08-11,2026-08-11,16.8693,sum of pollutant ratios,,,,,0.82684,,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,29.1761,mean ÷ screening level,1.2397,0.04249,6459.0,,0.73733,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,39.5387,mean ÷ screening level,1.68001,0.04249,6476.0,,0.73725,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,22.9863,mean ÷ screening level,0.97669,0.04249,6371.0,,0.72728,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-08-11,20.252,mean ÷ screening level,0.86051,0.04249,4537.0,,0.84772,,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,"1,3-Butadiene",Cancer,Aug 2026,2026-08-01,2026-08-31,13.3213,mean of weekly means ÷ screening level,0.56603,0.04249,151.0,1.0,0.89881,,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-08-11,2026-08-11,22.0872,mean ÷ screening level,0.93849,0.04249,6413.0,,0.73008,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,1.9986,mean ÷ screening level,0.22521,0.11269,6459.0,,0.73733,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,2.5432,mean ÷ screening level,0.28658,0.11269,6476.0,,0.73725,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,2.2047,mean ÷ screening level,0.24844,0.11269,6371.0,,0.72728,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,Benzene,Cancer,2026 YTD,2026-01-01,2026-08-11,1.6053,mean ÷ screening level,0.18089,0.11269,4537.0,,0.84772,,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,Benzene,Cancer,Aug 2026,2026-08-01,2026-08-31,0.871,mean of weekly means ÷ screening level,0.09815,0.11269,151.0,1.0,0.89881,,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,pollutant,Benzene,Cancer,Last 365 Days,2025-08-11,2026-08-11,2.1774,mean ÷ screening level,0.24537,0.11269,6413.0,,0.73008,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,total,Total (Combined),,2023,2023-01-01,2023-12-31,31.1747,sum of pollutant ratios,,,,,0.73733,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,total,Total (Combined),,2024,2024-01-01,2024-12-31,42.0819,sum of pollutant ratios,,,,,0.73725,*,,,,2026-08-11
Cancer Risk,Houston Milby Park A169 [K] POC 2,48-201-0069,Harris,total,Total (Combined),,2025,2025-01-01,2025-12-31,25.1909,sum of pollutant ratios,,,,,0.72728,*,,,,2026-08-11
